LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(micron/min),(micron),(min),(micron),(micron),(micron),
ID283829 → ID284216,64,283829,284216,0.006067563646623532,0.26443675890467555,0.03894728375196251,0.07789456750392502,141.0,24.660987127799324,2.5076610009458964,0.0,
ID282179 → ID282691,64,282179,282691,0.04257168301362964,0.90179533959277,0.10316453243924198,0.20632906487848396,105.0,25.938602059652585,2.827173536145123,0.0,
ID284362 → ID284605,64,284362,284605,0.5128835556524755,1.5176461342057674,0.35807944497432254,0.7161588899486451,147.0,24.648453640069267,2.238288846178765,0.0,
ID284188 → ID284222,64,284188,284222,0.06450069453720737,0.40316831673620507,0.12698493467455832,0.25396986934911664,143.0,26.520741828972938,1.760491518664822,0.0,
ID282597 → ID283100,64,282597,283100,0.03589893556532788,1.3123074538274238,0.09473507212923823,0.18947014425847647,131.0,27.782062541092564,2.6512127119868065,0.0,
ID280002 → ID280359,64,280002,280359,1.2865723369311093,0.3036773336991573,0.5671358604715252,1.1342717209430504,89.0,27.774364967387264,3.4031424712481098,0.0,
ID283298 → ID283444,64,283298,283444,3.4447745053441317,0.7380561969939557,0.9280051865889721,1.8560103731779443,135.0,26.022488550412426,1.3135857488325415,0.0,
ID273718 → ID273714,64,273718,273714,0.22394686634200628,0.09144795398757943,0.23661512332372495,0.4732302466474499,5.0,27.171064569791177,11.38542898914518,0.0,
ID282610 → ID283161,64,282610,283161,0.1496320223049987,1.4684467121739235,0.1934114928752934,0.3868229857505868,131.0,26.806497923484535,4.620738874940514,0.0,
ID275792 → ID277261,64,275792,277261,0.041318705388241235,1.4799516381898785,0.10163501535917781,0.20327003071835562,51.0,27.55878466618651,5.347775516648796,0.0,
ID284404 → ID284477,64,284404,284477,0.26137273426222435,0.5178319910384093,0.25562312799423315,0.5112462559884663,145.0,26.444362079057015,4.192747566464577,0.0,
ID282642 → ID283501,64,282642,283501,0.6008980171974984,1.0761616640032068,0.3875880600578075,0.775176120115615,107.0,27.481350686857965,1.6250458820373168,0.0,
ID281131 → ID282330,64,281131,282330,0.15044305614595885,1.4042886476208765,0.1939349479503107,0.3878698959006214,113.0,27.433643324474957,1.7447646042371951,0.0,
ID280367 → ID279447,64,280367,279447,0.2204756360768737,0.2372580677007091,0.23477416599621523,0.46954833199243046,91.0,26.191660573168207,3.686777501767983,0.0,
ID278914 → ID279435,64,278914,279435,0.051010758503594954,1.2355324362128517,0.1129278071419911,0.2258556142839822,75.0,27.62316597026203,4.244905801545256,0.0,
ID281092 → ID281666,64,281092,281666,0.00548498518139017,0.5853956681918243,0.037030342900755624,0.07406068580151125,99.0,27.674303106284896,2.116582977675476,0.0,
ID283838 → ID283890,64,283838,283890,0.008165076155282608,0.3490636982888278,0.04518040547428334,0.09036081094856668,139.0,26.538427953234592,4.540954615102239,0.0,
ID281674 → ID282142,64,281674,282142,0.4665485125764382,0.3887965453524525,0.3415217828252095,0.683043565650419,101.0,26.8982700743165,4.342143344489635,0.0,
ID284477 → ID284728,64,284477,284728,0.5658442749142699,1.5297881333386723,0.3761131062972513,0.7522262125945026,147.0,26.438324257747144,4.315742454494771,0.0,
ID276041 → ID275772,64,276041,275772,0.04359628422859767,1.3997445783431186,0.10439861616491579,0.20879723232983158,41.0,26.66199689339792,7.069829064451998,0.0,
ID279447 → ID279332,64,279447,279332,0.23384911541873454,0.0017453524277436835,0.24178974100379783,0.48357948200759565,93.0,26.124983304479798,3.214901874508647,0.0,
ID282431 → ID281947,64,282431,281947,0.024112663098179297,1.247621361166146,0.07764126334974737,0.15528252669949474,115.0,25.23116192593429,5.096414060980937,0.0,
ID273714 → ID273752,64,273714,273752,0.0970082729688386,0.03081238895852312,0.15573075560790697,0.31146151121581395,7.0,27.148129417785032,10.993932659166738,0.0,
ID273709 → ID278335,64,273709,278335,0.4000641304705191,0.19347888223879736,0.3162531147951428,0.6325062295902856,63.0,27.82722737295765,3.8903484581017906,0.0,
ID276796 → ID275801,64,276796,275801,0.018680713217192772,1.287258134122967,0.06833870282861823,0.13667740565723646,49.0,25.807414187672478,7.424224647632164,0.0,
ID284865 → ID282704,64,284865,282704,0.022772504756877886,0.13315618853229966,0.0754528076960657,0.1509056153921314,127.0,26.47597850297516,2.624039642560919,0.0,
ID279336 → ID280649,64,279336,280649,0.06457304948965976,1.4152706804224358,0.12705613866482382,0.25411227732964764,95.0,25.31796711627218,5.288832608984116,0.0,
ID285051 → ID282720,64,285051,282720,0.002773723038345238,1.4862494636108743,0.026333073492972852,0.052666146985945704,127.0,26.868500781398872,4.690304961724438,0.0,
ID280371 → ID279454,64,280371,279454,0.14165519958309838,1.1830871430104328,0.18818554645820862,0.37637109291641724,91.0,27.214051550664067,5.071045584374978,0.0,
ID280373 → ID279455,64,280373,279455,0.18839698094390078,1.243360652092229,0.21702360525061598,0.43404721050123196,91.0,25.469701744110274,5.7679396005371055,0.0,
ID275626 → ID273848,64,275626,273848,0.006004522881063828,0.48436065691960506,0.03874442824801983,0.07748885649603966,57.0,27.71422815141865,4.565729181101766,0.0,
ID282652 → ID281150,64,282652,281150,0.03614524167299926,0.10229651992024281,0.09505950987802228,0.19011901975604456,111.0,25.190081067556246,5.248306300744196,0.0,
ID284241 → ID284560,64,284241,284560,0.6390647932751209,1.553215814114403,0.3997076410562853,0.7994152821125706,147.0,26.52312929031823,1.4396989798996418,0.0,
ID283909 → ID284344,64,283909,284344,0.006387580064917608,0.12435819282867734,0.0399611688546444,0.0799223377092888,141.0,24.926336292593593,5.705320349262516,0.0,
ID283100 → ID283303,64,283100,283303,0.02264345091621279,0.8838120088694552,0.07523870499319614,0.15047740998639228,133.0,27.788524250414575,2.5425570625251677,0.0,
ID283664 → ID283722,64,283664,283722,0.04389333673292084,0.5087888183466598,0.10475368338741226,0.2095073667748245,139.0,25.396704385548272,0.5031940756225883,0.0,
ID280005 → ID280367,64,280005,280367,1.0755170327056731,0.22442094681531466,0.5185356865023065,1.037071373004613,89.0,26.05572923300704,4.409340661398044,0.0,
ID284526 → ID282667,64,284526,282667,0.002483376534380753,0.04495528679014865,0.024916744040808948,0.049833488081617895,127.0,27.64933448461179,1.6140685199341571,0.0,
ID281101 → ID281675,64,281101,281675,0.005444161408691628,0.7449295791390984,0.03689228038726946,0.07378456077453892,99.0,25.295659830411424,5.3600422008905735,0.0,
ID282142 → ID282191,64,282142,282191,0.2863318869884736,1.548054123461725,0.26754994252871445,0.5350998850574289,103.0,26.877419715269614,4.26985156930974,0.0,
ID284268 → ID284592,64,284268,284592,1.036235879669078,1.5663587545457445,0.508978358987167,1.017956717974334,147.0,27.82615492762782,1.9838653295426423,0.0,
ID280005 → ID280373,64,280005,280373,1.2685836868941378,1.35763362755607,0.5631571021691323,1.1263142043382646,89.0,25.714820011977174,5.435835740715639,0.0,
ID273878 → ID274643,64,273878,274643,0.05203478946832679,0.12411824145989121,0.11405567661051201,0.22811135322102402,19.0,26.920657694707113,9.334207261244162,0.0,
ID282330 → ID281935,64,282330,281935,0.06945241935298206,1.4539015993891136,0.13176913461902037,0.26353826923804075,115.0,27.452690851341984,1.674820464297611,0.0,
ID283094 → ID283307,64,283094,283307,0.010129769554201659,0.879027507448499,0.0503233781512173,0.1006467563024346,133.0,24.742618995104934,2.492043507728857,0.0,
ID282704 → ID282596,64,282704,282596,0.00879697052749125,1.5061436715636711,0.04689608333190323,0.09379216666380646,129.0,26.459066322783386,2.599779705752887,0.0,
