LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(micron/min),(micron),(min),(micron),(micron),(micron),
ID34581 → ID36883,57,34581,36883,6.124046845124972E-4,0.3343772577065162,0.012373405801481026,0.024746811602962052,97.0,61.09233432064458,236.6913365330724,0.0,
ID35948 → ID34366,57,35948,34366,0.005574235711094771,1.55260792665593,0.037330402191426935,0.07466080438285387,85.0,60.888432140224424,238.2845543579243,0.0,
ID32237 → ID31790,57,32237,31790,0.012459639683162186,0.2738624428616809,0.055811378058515514,0.11162275611703103,57.0,61.62396716987212,239.59831497938666,0.0,
ID40262 → ID40298,58,40262,40298,0.03451000429804785,0.2388383428634661,0.09288434246153633,0.18576868492307266,123.0,196.68996719882148,236.32690946749005,0.0,
ID39682 → ID36871,58,39682,36871,0.02185828843744092,0.6869746737009259,0.07392274419527613,0.14784548839055225,103.0,196.1120777985059,238.77491399200898,0.0,
ID37176 → ID40098,58,37176,40098,0.0013094494246515059,0.11253802046962999,0.018093157716741335,0.03618631543348267,113.0,195.90669979845714,238.47637681579113,0.0,
ID32704 → ID32920,58,32704,32920,0.019052721950131506,0.224509239517295,0.06901579882557962,0.13803159765115924,35.0,196.9217369971215,241.93408099140157,0.0,
ID40120 → ID37194,58,40120,37194,0.003945400877202952,0.7625382002291448,0.03140621306844774,0.06281242613689549,117.0,196.73319298980186,236.67775052299544,0.0,
ID39649 → ID39682,58,39649,39682,0.029741028033605163,0.8274141793250939,0.08622793635708378,0.17245587271416757,101.0,196.1468922080275,238.89399840357336,0.0,
ID37216 → ID37347,58,37216,37347,0.3193762346111553,0.21041108562613428,0.28256691004572493,0.5651338200914499,119.0,195.8517889399699,237.93520191656117,0.0,
ID31799 → ID32440,58,31799,32440,0.04667386454124504,0.6491623341117881,0.10802067457348737,0.21604134914697473,59.0,196.7860126303002,240.23240216907152,0.0,
ID39621 → ID37984,58,39621,37984,0.01983373773768511,1.4904586009507477,0.07041615180071457,0.14083230360142915,127.0,195.86212108850293,237.94769091900326,0.0,
ID40307 → ID39621,58,40307,39621,0.09888072407001901,0.45351565502090574,0.15722652771560133,0.31445305543120267,125.0,195.81982801363364,237.87002145398446,0.0,
ID33015 → ID31605,58,33015,31605,0.02570536985998977,1.0547848283286858,0.08016447133860138,0.16032894267720277,51.0,196.76437646319687,240.80157023035468,0.0,
ID33727 → ID34139,58,33727,34139,0.06510883860607146,1.5372663198531835,0.12758216823489818,0.25516433646979636,69.0,196.7058124685418,239.42468524778224,0.0,
ID32988 → ID32081,58,32988,32081,0.03392033706854671,0.3385201823778438,0.09208737300594842,0.18417474601189684,47.0,196.73312355494284,240.97257940529383,0.0,
ID34586 → ID36894,58,34586,36894,0.0034891400003457264,0.1074573022825421,0.0295344713866091,0.0590689427732182,97.0,196.8960042505819,236.71990414221557,0.0,
ID32253 → ID31799,58,32253,31799,0.011314835397284334,0.4532530209452864,0.0531856075392684,0.1063712150785368,57.0,196.79181957726888,240.36489985884776,0.0,
ID39838 → ID37158,58,39838,37158,0.0039302371347395325,1.030852036299339,0.031345801691532525,0.06269160338306505,111.0,196.80081517248536,236.700614293295,0.0,
ID41466 → ID41487,58,41466,41487,0.03275081131766044,1.4582665853386498,0.0904859261400087,0.1809718522800174,147.0,195.9048751110209,238.24653389467682,0.0,
ID31957 → ID32253,58,31957,32253,0.049931132944528715,0.230803802614661,0.11172637663565475,0.2234527532713095,55.0,196.7570019944111,240.51127612012726,0.0,
ID31605 → ID31957,58,31605,31957,0.017146894917303982,0.5805173274771304,0.06547307636980254,0.13094615273960508,53.0,196.73613729528097,240.6828368547939,0.0,
ID32575 → ID32590,58,32575,32590,0.04027732387972275,0.26491684533528737,0.10034605607561609,0.20069211215123217,27.0,197.03581239418136,242.96296699187585,0.0,
ID37808 → ID39004,58,37808,39004,0.03673816618076084,0.02028568736009051,0.09583601382147637,0.19167202764295274,93.0,196.27649309663047,239.37666269326408,0.0,
ID32973 → ID32972,58,32973,32972,0.029991698696079025,0.29230555313385215,0.08659055764931738,0.17318111529863475,41.0,196.85912167255478,241.38718990161448,0.0,
ID40904 → ID41509,58,40904,41509,0.2250562748511604,1.4784030185756813,0.23720048210910133,0.47440096421820266,143.0,195.94382785289847,238.2227449136404,0.0,
ID39662 → ID36856,58,39662,36856,0.018733081426176492,1.175839616107338,0.06843442376862775,0.1368688475372555,103.0,196.88098604137448,236.60887145208613,0.0,
ID30838 → ID31078,58,30838,31078,0.061414826655783475,0.17780615902785868,0.12391007490896723,0.24782014981793446,19.0,197.34883526080472,243.83234987066749,0.0,
ID31681 → ID31987,58,31681,31987,0.07123758294484471,0.20976900584004093,0.13345184800597995,0.2669036960119599,15.0,197.35535350108017,244.41781541105826,0.0,
ID39804 → ID39838,58,39804,39838,0.03167507378464249,1.2846203649232022,0.08898746229756539,0.17797492459513078,109.0,196.81002011136144,236.62195923840787,0.0,
ID41509 → ID41466,58,41509,41466,0.11943232557622482,1.4496536539976663,0.17279491136620953,0.34558982273241906,145.0,195.89217836103523,238.16049791091896,0.0,
ID32972 → ID32990,58,32972,32990,0.03267307987799516,0.24904036278058492,0.0903784817835462,0.1807569635670924,43.0,196.86443225471996,241.21576015962577,0.0,
ID40298 → ID39593,58,40298,39593,0.294702572059177,0.30054402110820166,0.2714325754488474,0.5428651508976948,125.0,196.73772178041804,236.67563298862225,0.0,
ID37990 → ID38027,58,37990,38027,0.32228116592021816,0.19795721853459033,0.2838490646101455,0.567698129220291,131.0,196.34692790276853,237.2258616906724,0.0,
ID34017 → ID34073,58,34017,34073,0.015653132404049894,0.23458896364130788,0.06255623950504437,0.12511247901008873,79.0,196.77780821305558,239.0054996751756,0.0,
ID36871 → ID36049,58,36871,36049,0.011409696056258405,0.16261677687354617,0.05340808940661144,0.10681617881322288,105.0,195.99631818809553,238.72593535115266,0.0,
ID36916 → ID39649,58,36916,39649,0.003166599982495237,0.3590539442995664,0.02813627543979141,0.05627255087958282,99.0,196.14539047009407,238.98241438474702,0.0,
ID39854 → ID37176,58,39854,37176,0.03852214131502518,1.4156958103238912,0.09813529094447265,0.1962705818889453,111.0,195.9701785798356,238.57327844794625,0.0,
ID37347 → ID40273,58,37347,40273,0.0024556670568398093,0.2597613378977388,0.024777343768248288,0.049554687536496576,121.0,195.82146853661783,237.63239237375387,0.0,
ID34204 → ID36035,58,34204,36035,0.00205860161079226,0.39188064866603906,0.022685907579333583,0.045371815158667166,83.0,196.80370449424552,238.80985167818739,0.0,
ID34139 → ID33358,58,34139,33358,0.01424757344356663,1.528880260712003,0.05968159985197831,0.11936319970395662,71.0,196.7118401374575,239.49271197117906,0.0,
ID32081 → ID33015,58,32081,33015,0.012450414953010877,0.8091258927858123,0.055790713727758665,0.11158142745551733,49.0,196.76432447500216,240.87192277441878,0.0,
ID36007 → ID37808,58,36007,37808,0.014984405175846332,1.313935091843291,0.06120540248998926,0.12241080497997851,91.0,196.29891814753412,239.53206368980972,0.0,
ID31960 → ID31681,58,31960,31681,0.11212270231372017,0.15813031694445323,0.16742364103802676,0.3348472820760535,13.0,197.38030305698027,244.71112120125568,0.0,
ID40085 → ID40120,58,40085,40120,0.0037430855770078774,1.0666410989925121,0.03059038074709057,0.06118076149418114,115.0,196.7462687299651,236.72063367655136,0.0,
ID36049 → ID39818,58,36049,39818,0.05735040212810312,0.7365988150069325,0.11973971994299043,0.23947943988598086,107.0,195.95767303757447,238.5957704673363,0.0,
ID40135 → ID37216,58,40135,37216,0.01829538683926513,0.3310345126339489,0.06763022038864196,0.1352604407772839,117.0,195.87255500067056,238.27998043139388,0.0,
ID32590 → ID32034,58,32590,32034,0.17179011305970865,0.5256755932472432,0.20723785432426953,0.41447570864853905,29.0,197.03811959131275,242.69156830131175,0.0,
ID34600 → ID36916,58,34600,36916,0.0014867415598461722,0.9252450610521445,0.019279143911531526,0.03855828782306305,97.0,196.18986621882766,238.98092468611983,0.0,
ID39593 → ID37990,58,39593,37990,0.07673606083268569,0.3755009535990457,0.06925318622303854,0.27701274489215416,128.0,196.68438541866462,236.9841509628302,0.0,
ID40273 → ID40307,58,40273,40307,0.01761824828231867,1.4923773791128587,0.06636687479895123,0.13273374959790246,123.0,195.79674159207147,237.6664310795138,0.0,
ID37331 → ID40262,58,37331,40262,0.009695659873302993,1.5328767280872715,0.04923327094887916,0.09846654189775832,121.0,196.71079676598112,236.19001611047645,0.0,
ID32961 → ID32973,58,32961,32973,0.07265266102408102,0.08548095949830123,0.13477078784373211,0.26954157568746423,39.0,196.87445770962762,241.59906142561104,0.0,
